(692.8203230275509, 150.0)
(216.50635094610965, 125.0)
(43.30127018922193, 425.0)
(259.8076211353316, 650.0)
(216.50635094610965, 775.0)
(606.217782649107, 450.0)
(649.519052838329, 875.0)
(476.31397208144125, 25.0)
(346.41016151377545, 50.0)
(476.31397208144125, 525.0)
(779.4228634059947, 150.0)
(476.31397208144125, 575.0)
(433.0127018922193, 200.0)
(303.1088913245535, 325.0)
(606.217782649107, 50.0)
(649.519052838329, 825.0)
(779.4228634059947, 800.0)
(303.1088913245535, 675.0)
(43.30127018922193, 525.0)
(562.9165124598851, 375.0)
(562.9165124598851, 575.0)
(433.0127018922193, 400.0)
(129.9038105676658, 575.0)
(86.60254037844386, 450.0)
(909.3266739736605, 275.0)
(433.0127018922193, 50.0)
(259.8076211353316, 800.0)
(433.0127018922193, 600.0)
(909.3266739736605, 675.0)
(346.41016151377545, 850.0)
(389.71143170299734, 675.0)
(562.9165124598851, 625.0)
(476.31397208144125, 625.0)
(346.41016151377545, 600.0)
(866.0254037844386, 250.0)
(216.50635094610965, 525.0)
(346.41016151377545, 500.0)
(303.1088913245535, 525.0)
(303.1088913245535, 725.0)
(389.71143170299734, 275.0)
(736.1215932167728, 275.0)
(259.8076211353316, 350.0)
(562.9165124598851, 225.0)
(303.1088913245535, 125.0)
(129.9038105676658, 325.0)
(562.9165124598851, 675.0)
(303.1088913245535, 775.0)
(692.8203230275509, 200.0)
(866.0254037844386, 600.0)
(779.4228634059947, 200.0)
(346.41016151377545, 150.0)
(389.71143170299734, 625.0)
(519.6152422706632, 350.0)
(562.9165124598851, 475.0)
(562.9165124598851, 75.0)
(779.4228634059947, 550.0)
(389.71143170299734, 425.0)
(822.7241335952167, 825.0)
(692.8203230275509, 600.0)
(736.1215932167728, 675.0)
(822.7241335952167, 525.0)
(822.7241335952167, 675.0)
(866.0254037844386, 750.0)
(606.217782649107, 550.0)
(389.71143170299734, 725.0)
(692.8203230275509, 850.0)
(433.0127018922193, 450.0)
(173.20508075688772, 550.0)
(779.4228634059947, 850.0)
(779.4228634059947, 750.0)
(519.6152422706632, 600.0)
(779.4228634059947, 450.0)
(736.1215932167728, 325.0)
(173.20508075688772, 650.0)
(433.0127018922193, 900.0)
(995.9292143521044, 425.0)
(736.1215932167728, 125.0)
(692.8203230275509, 950.0)
(562.9165124598851, 725.0)
(779.4228634059947, 650.0)
(606.217782649107, 100.0)
(952.6279441628825, 350.0)
(129.9038105676658, 625.0)
(736.1215932167728, 225.0)
(476.31397208144125, 675.0)
(822.7241335952167, 575.0)
(389.71143170299734, 575.0)
(692.8203230275509, 900.0)
(346.41016151377545, 400.0)
(649.519052838329, 525.0)
(346.41016151377545, 250.0)
(476.31397208144125, 475.0)
(562.9165124598851, 975.0)
(43.30127018922193, 475.0)
(476.31397208144125, 275.0)
(216.50635094610965, 325.0)
(86.60254037844386, 700.0)
(303.1088913245535, 575.0)
(303.1088913245535, 475.0)
(259.8076211353316, 450.0)
(389.71143170299734, 125.0)
(259.8076211353316, 850.0)
(736.1215932167728, 725.0)
(952.6279441628825, 450.0)
